adm_1_name,Year,Month,YearMonth,dengue_total_month
KON TUM,2005,7,2005-07-01,0.0
LAI CHAU,2005,7,2005-07-01,0.0
LAM DONG,2005,7,2005-07-01,17.0
LANG SON,2005,7,2005-07-01,0.0
LAO CAI,2005,7,2005-07-01,0.0
LONG AN,2005,7,2005-07-01,153.0
NAM DINH,2005,7,2005-07-01,6.0
NGHE AN,2005,7,2005-07-01,0.0
NINH BINH,2005,7,2005-07-01,2.0
NINH THUAN,2005,7,2005-07-01,38.0
PHU THO,2005,7,2005-07-01,0.0
PHU YEN,2005,7,2005-07-01,30.0
QUANG BINH,2005,7,2005-07-01,0.0
QUANG NAM,2005,7,2005-07-01,0.0
QUANG NGAI,2005,7,2005-07-01,5.0
QUANG NINH,2005,7,2005-07-01,1.0
QUANG TRI,2005,7,2005-07-01,0.0
SOC TRANG,2005,7,2005-07-01,680.0
SON LA,2005,7,2005-07-01,0.0
TAY NINH,2005,7,2005-07-01,67.0
THAI BINH,2005,7,2005-07-01,0.0
THAI NGUYEN,2005,7,2005-07-01,0.0
THANH HOA,2005,7,2005-07-01,0.0
THUA THIEN - HUE,2005,7,2005-07-01,0.0
TIEN GIANG,2005,7,2005-07-01,363.0
TRA VINH,2005,7,2005-07-01,418.0
TUYEN QUANG,2005,7,2005-07-01,0.0
VINH LONG,2005,7,2005-07-01,148.0
VINH PHUC,2005,7,2005-07-01,0.0
YEN BAI,2005,7,2005-07-01,0.0
AN GIANG,2005,8,2005-08-01,384.0
BA RIA-VUNG TAU,2005,8,2005-08-01,71.0
BAC GIANG,2005,8,2005-08-01,0.0
BAC KAN,2005,8,2005-08-01,0.0
BAC LIEU,2005,8,2005-08-01,146.0
BAC NINH,2005,8,2005-08-01,1.0
BEN TRE,2005,8,2005-08-01,475.0
BINH DINH,2005,8,2005-08-01,11.0
BINH DUONG,2005,8,2005-08-01,120.0
BINH PHUOC,2005,8,2005-08-01,113.0
BINH THUAN,2005,8,2005-08-01,363.0
CA MAU,2005,8,2005-08-01,112.0
CAN THO CITY,2005,8,2005-08-01,142.0
CAO BANG,2005,8,2005-08-01,0.0
DA NANG CITY,2005,8,2005-08-01,2.0
DAK LAK,2005,8,2005-08-01,80.0
DAK NONG,2005,8,2005-08-01,8.0
DIEN BIEN,2005,8,2005-08-01,0.0
DONG NAI,2005,8,2005-08-01,247.0
DONG THAP,2005,8,2005-08-01,805.0
GIA LAI,2005,8,2005-08-01,25.0
HA GIANG,2005,8,2005-08-01,0.0
HA NAM,2005,8,2005-08-01,6.0
HA NOI CITY,2005,8,2005-08-01,88.0
HA TAY,2005,8,2005-08-01,4.0
HA TINH,2005,8,2005-08-01,5.0
HAI DUONG,2005,8,2005-08-01,0.0
HAI PHONG CITY,2005,8,2005-08-01,7.0
HAU GIANG,2005,8,2005-08-01,471.0
HO CHI MINH CITY,2005,8,2005-08-01,528.0
HOA BINH,2005,8,2005-08-01,0.0
HUNG YEN,2005,8,2005-08-01,0.0
KHANH HOA,2005,8,2005-08-01,1052.0
KIEN GIANG,2005,8,2005-08-01,209.0
KON TUM,2005,8,2005-08-01,0.0
LAI CHAU,2005,8,2005-08-01,0.0
LAM DONG,2005,8,2005-08-01,14.0
LANG SON,2005,8,2005-08-01,0.0
LAO CAI,2005,8,2005-08-01,0.0
LONG AN,2005,8,2005-08-01,183.0
NAM DINH,2005,8,2005-08-01,39.0
NGHE AN,2005,8,2005-08-01,1.0
NINH BINH,2005,8,2005-08-01,0.0
NINH THUAN,2005,8,2005-08-01,14.0
PHU THO,2005,8,2005-08-01,2.0
PHU YEN,2005,8,2005-08-01,14.0
QUANG BINH,2005,8,2005-08-01,0.0
QUANG NAM,2005,8,2005-08-01,0.0
QUANG NGAI,2005,8,2005-08-01,0.0
QUANG NINH,2005,8,2005-08-01,2.0
QUANG TRI,2005,8,2005-08-01,2.0
SOC TRANG,2005,8,2005-08-01,380.0
SON LA,2005,8,2005-08-01,0.0
TAY NINH,2005,8,2005-08-01,96.0
THAI BINH,2005,8,2005-08-01,0.0
THAI NGUYEN,2005,8,2005-08-01,0.0
